title,author,price
ბურებთან,ნიკო ბაგრატიონი,2.77ლარი
ფინანსისტი (ნაწილი II),თეოდორ დრაიზერი,3.99ლარი
The Philosophy Of Psychology,"George Botterill, Peter Carruthers",3.88ლარი
დაკარგული ქვეყანა,ართურ კონან დოილი,2.99ლარი
მელის წიგნი,ვარდანი,3.33ლარი
ფინანსისტი (ნაწილი I),თეოდორ დრაიზერი,3.99ლარი
სიმღერა ნიბელუნგებზე,უცნობი,4.99ლარი
მძიმე დროის ამბავი,ოლაუგ ნილსენი,6.00ლარი
ფსიქოანალიზი და არაცნობიერი,დევიდ ლოურენსი,4.99ლარი
მედიტაცია,ჯიდუ კრიშნამურტი,5.99ლარი
მედიტაცია და მისი მეთოდები,სვამი ვივეკანანდა,4.99ლარი
ბჰაქთი-იოგა,სვამი ვივეკანანდა,5.99ლარი
გზა ღმერთისაკენ,მაჰათმა განდი,3.99ლარი
შთაგონებული საუბრები,სვამი ვივეკანანდა,5.99ლარი
პროპაგანდა,ედუარდ ბერნეისი,3.88ლარი
Philosophy of Religion,Keith Yandell,3.99ლარი
გული,ნაცუმე სოსეკი,6.00ლარი
დასავლური ფილოსოფიის ისტორია. წიგნი II,ბერტრან რასელი,4.99ლარი
გამართლებული მკვლელობა,ანი შამუგია,6.00ლარი
"კატა, რომელიც ქალს უსმენდა",მარტოხელა,8.00ლარი
ქართული ენა ლიტერატურა 2022,რუსუდან გონაშვილი ეკატერინე შარაშიძე,10.00ლარი
წმინდანთა ცხოვრება  და სხვა მოთხრობები,რომუალდას გრანაუსკასი,6.00ლარი
ვლადივოსტოკის ცირკი,ელიზა შუა დიუსაპენი,5.00ლარი
ფსიქოპათოლოგიის ბუნება - რა განაპირობებს ფსიქიკურ აშლილობას,ლილი ნაკანი,8.00ლარი
ფილოსოფიის საწყისები,რენე დეკარტი,3.99ლარი
"ფრაზული ზმნების, იდიომებისა და ანდაზების კრებული",მაია მაზმიშვილი,8.00ლარი
ტიბეტელი ბერის ლექსები და ჩანაწერები,ტაშირო მაცუკი,6.00ლარი
მონტესორის პედაგოგიკა და ახალი ტექნოლოგიები,მარიო ვალე,9.00ლარი
ჩიკაგო ბლიუზი,ჯიმი იანსი,3.99ლარი
